Type,In GT?,In Predicted?,Element,Source,Impact,Required
Method,TRUE,TRUE,resetPassword(email: String): void,Suggested,Valid,TRUE
Class,TRUE,TRUE,BackupService,Identified from R10,Valid,TRUE
Method,TRUE,TRUE,backupData(): void,Identified from R10,Valid,TRUE
Method,TRUE,TRUE,scheduleBackup(time: String): void,Suggested,Valid,FALSE
Relation,TRUE,FALSE,"User ""1"" -- ""many"" Loan",Not Identified & Not Suggested,Valid,TRUE
Relation,TRUE,FALSE,"Book ""1"" -- ""many"" Loan",Not Identified & Not Suggested,Valid,TRUE
Relation,TRUE,FALSE,"User ""1"" -- ""*"" Book : reserves >",Not Identified & Not Suggested,Valid,TRUE
Relation,TRUE,TRUE,User --> NotificationService : uses >,Identified from R3,Valid,TRUE
Relation,TRUE,TRUE,User --> Report : receives >,Suggested,Valid,TRUE
Relation,TRUE,TRUE,User --> AuthenticationService : authenticates >,Identified from R8,Valid,TRUE
Relation,TRUE,FALSE,Admin --> Report : generates >,Identified from R9,Valid,TRUE
Relation,TRUE,TRUE,Librarian --> Book : manages >,Identified from R7,Valid,TRUE
Relation,TRUE,TRUE,Librarian --> User : verifies >,Suggested,Valid,TRUE
Relation,TRUE,TRUE,User </-- Librarian,Identified from R8,Valid,TRUE
Relation,TRUE,FALSE,User </-- Admin,Not Identified & Not Suggested,Valid,TRUE
Relation,FALSE,TRUE,Librarian --> NotificationService : notifies,Identified from R4,Extra Valid,FALSE
Relation,FALSE,TRUE,Loan --> Report : generates,Suggested,Extra Harmful,FALSE
